"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 09 08:17:15 EEST 2022","Tue Aug 09 08:17:18 EEST 2022","3211","","Notification message rendered","","Notification message rendered","Verify what message a user can get from the page, test comparing","Verify what message a user can get from the page, test comparing",""
"passed","Tue Aug 09 08:16:33 EEST 2022","Tue Aug 09 08:16:36 EEST 2022","2700","","Inputs","","Inputs","Verify if a user can put numbers and if the input has a focus","Verify if a user can put numbers and if the input has a focus",""
"passed","Tue Aug 09 08:16:52 EEST 2022","Tue Aug 09 08:16:52 EEST 2022","768","","JavaScript Alerts","","JavaScript Alerts","Verify if a user can get alerts from the page, JavaScript Alerts Second","Verify if a user can get alerts from the page, JavaScript Alerts Second",""
"passed","Tue Aug 09 08:15:37 EEST 2022","Tue Aug 09 08:15:38 EEST 2022","693","","Dropdown","","Dropdown","Verify if a user can click on Dropdown and choose the option Second way","Verify if a user can click on Dropdown and choose the option Second way",""
"passed","Tue Aug 09 08:17:06 EEST 2022","Tue Aug 09 08:17:10 EEST 2022","4236","","Login","","Login","Verify if a user can enter his username and password","Verify if a user can enter his username and password",""
"passed","Tue Aug 09 08:15:42 EEST 2022","Tue Aug 09 08:15:45 EEST 2022","2850","","Dynamic Loading Page","","Dynamic Loading Page","Wait for the hidden element to show First way","Wait for the hidden element to show First way",""
"passed","Tue Aug 09 08:15:05 EEST 2022","Tue Aug 09 08:15:07 EEST 2022","2581","","Broken Images","","Broken Images","Verify img Images and verify value of images ","Verify img Images and verify value of images ",""
"skipped","Tue Aug 09 08:16:27 EEST 2022","Tue Aug 09 08:16:27 EEST 2022","12",""," Scroll down",""," Scroll down","Verify if a user can scrol down","Verify if a user can scrol down",""
"passed","Tue Aug 09 08:16:58 EEST 2022","Tue Aug 09 08:17:00 EEST 2022","2391","","Key Press","","Key Press","Verify if is coping the text out of active element","Verify if is coping the text out of active element",""
"passed","Tue Aug 09 08:15:45 EEST 2022","Tue Aug 09 08:15:46 EEST 2022","1090","","Dynamic Loading Page","","Dynamic Loading Page","Wait for the hidden element to show Second way","Wait for the hidden element to show Second way",""
"passed","Tue Aug 09 08:16:08 EEST 2022","Tue Aug 09 08:16:12 EEST 2022","4019","","Form Authentification","","Form Authentification","Verify if a user can enter his username and password","Verify if a user can enter his username and password",""
"passed","Tue Aug 09 08:16:44 EEST 2022","Tue Aug 09 08:16:44 EEST 2022","190",""," Internet main page",""," Internet main page","Verify how many numbers of li items present are on the page","Verify how many numbers of li items present are on the page",""
"passed","Tue Aug 09 08:17:38 EEST 2022","Tue Aug 09 08:17:40 EEST 2022","2463",""," Screenshot",""," Screenshot","Verify if the user can does a screenshot","Verify if the user can does a screenshot",""
"passed","Tue Aug 09 08:15:12 EEST 2022","Tue Aug 09 08:15:15 EEST 2022","2704","","CheckBox","","CheckBox","Should click on checkbox 2. Verify if an element is selected ","Should click on checkbox 2. Verify if an element is selected ",""
"passed","Tue Aug 09 08:16:41 EEST 2022","Tue Aug 09 08:16:44 EEST 2022","3017",""," Internet main page",""," Internet main page","Verify if a user can click on the first link and it should be displayed","Verify if a user can click on the first link and it should be displayed",""
"passed","Tue Aug 09 08:17:23 EEST 2022","Tue Aug 09 08:17:23 EEST 2022","25","","Opening new window","","Opening new window","Verify if the user can open a new window ","Verify if the user can open a new window ",""
"passed","Tue Aug 09 08:16:52 EEST 2022","Tue Aug 09 08:16:53 EEST 2022","949","","JavaScript Alerts","","JavaScript Alerts","Verify if a user can get alerts from the page, JavaScript Alerts Third","Verify if a user can get alerts from the page, JavaScript Alerts Third",""
"passed","Tue Aug 09 08:15:54 EEST 2022","Tue Aug 09 08:15:55 EEST 2022","1144","","FileUpload","","FileUpload","File Upload empty (negative)","File Upload empty (negative)",""
"passed","Tue Aug 09 08:16:00 EEST 2022","Tue Aug 09 08:16:04 EEST 2022","3525","","Forgot Password","","Forgot Password","See the message in the page if the user Forgot Password","See the message in the page if the user Forgot Password",""
"passed","Tue Aug 09 08:17:45 EEST 2022","Tue Aug 09 08:17:49 EEST 2022","4142","","Tables ","","Tables ","Get content from table cell","Get content from table cell",""
"passed","Tue Aug 09 08:15:27 EEST 2022","Tue Aug 09 08:15:29 EEST 2022","2625","","Download file","","Download file","Verify if the user can download file from web-site","Verify if the user can download file from web-site",""
"passed","Tue Aug 09 08:15:34 EEST 2022","Tue Aug 09 08:15:37 EEST 2022","2579","","Dropdown","","Dropdown","Verify if a user can click on Dropdown and choose the option First way ","Verify if a user can click on Dropdown and choose the option First way ",""
"passed","Tue Aug 09 08:16:49 EEST 2022","Tue Aug 09 08:16:52 EEST 2022","2525","","JavaScript Alerts","","JavaScript Alerts","Verify if a user can get alerts from the page, JavaScript Alerts ","Verify if a user can get alerts from the page, JavaScript Alerts ",""
"passed","Tue Aug 09 08:15:51 EEST 2022","Tue Aug 09 08:15:54 EEST 2022","2788","","FileUpload","","FileUpload","Verify if the user can Upload the file","Verify if the user can Upload the file",""
"passed","Tue Aug 09 08:15:20 EEST 2022","Tue Aug 09 08:15:22 EEST 2022","2327","","Context menu","","Context menu","Verify if the user can click on the square and get alert","Verify if the user can click on the square and get alert",""
"passed","Tue Aug 09 08:16:18 EEST 2022","Tue Aug 09 08:16:21 EEST 2022","3780",""," Hovers ",""," Hovers "," Should be hover over users profile "," Should be hover over users profile ",""
"passed","Tue Aug 09 08:17:29 EEST 2022","Tue Aug 09 08:17:32 EEST 2022","2673","","Redirect link","","Redirect link","Verify if the user can click on the link and he get Redirect link","Verify if the user can click on the link and he get Redirect link",""
"passed","Tue Aug 09 08:16:41 EEST 2022","Tue Aug 09 08:16:41 EEST 2022","62",""," Internet main page",""," Internet main page","Verify if the needed text of the main page is displayed","Verify if the needed text of the main page is displayed",""
